URL,Asin,Precio,Precio Inicial,Título,Estrellas,Opiniones,Marca,Modelo,Año del modelo,Dimensiones,RAM,Memoria,Sistema operativo,Resolución pantalla,Tamaño pantalla,Relación aspecto,Peso,Tecnología conectividad,Batería
https://www.amazon.es/stores/realme/page/B93BDC46-583F-42FA-880C-2785AC34CF42?ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,B0DL2MFHX3,"159,00","175,00","realme Smartphone 12x 5G 8+256 GB, Smartphone de 6,72 Pulgadas, Cámara AI de 50 MP, Dual Standby 5G, Pantalla de 120 Hz, Batería de 5.000 mAh, Carga SUPERVOOC de 45W, Verde (sin Adaptador)",4.4,27,realme,RMX3997,2020,"16,6 x 7,6 x 0,8 cm; 200 g",8 GB,256 GB,Android,null,"6,72 Pulgadas",16:9,200 g,5G,null
https://www.amazon.es/stores/Xiaomi/page/DB79BA31-FEE4-4A26-9AEF-75A2F5CF9B47?ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,B0DRCX34LQ,"172,90","179,95",Xiaomi Redmi Note 14 4G 6/128GB Verde Lima Libre,4.4,36,Xiaomi,Redmi Note 14,2025,"6,67 Pulgadas",8 GB,256 GB,Android 12.0,1080 x 2400,"6,67 Pulgadas",null,200 g,4G,null
https://www.amazon.es/stores/Samsung/page/7150C1B9-9CA6-4EC0-B016-62463A7AD848?ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,null,"170,24","170,24","SAMSUNG A145R/DSN Galaxy A14, Dual, 128GB 4GB RAM, Light Green",3.9,21,null,null,null,null,null,null,null,null,null,null,null,null,null
